,year,month,day,hour,powerusage,date,weekday,day_name,weekday_status,season,날짜,MEF,min_cutoff,max_cutoff,변화율_100이상_주중,변화율_100미만_주중,변화율_100이상_주말,변화율_100미만_주말,최대제한,최소제한,optimized_powerusage,MEF_CO2
7253,2020,10,29,5,47.36,2020-10-29 05:00:00,3,Thursday,O,가을,2020-10-29,0.7197909746741354,27.81,70.01,107.86991145819798,92.69441775804312,130.06753370908794,81.30937625409314,51.08719006660256,43.900076250209224,46.14999999999853,-0.8709470793567632
7254,2020,10,29,6,48.27,2020-10-29 06:00:00,3,Thursday,O,가을,2020-10-29,0.7352611373756079,25.34,71.11,108.26497520003531,93.05244743539158,129.22849284660052,77.61170082796916,52.25950352905705,44.91641637706353,46.149999999999736,-1.5587536112364855
7255,2020,10,29,7,73.44,2020-10-29 07:00:00,3,Thursday,O,가을,2020-10-29,0.6828118832741743,22.58,91.36,111.81081778211829,90.63888824452322,139.59676509103267,77.1277397688779,82.11386457918766,66.56519952677785,60.984543194528335,-8.504733918384236
7256,2020,10,29,8,78.91,2020-10-29 08:00:00,3,Thursday,O,가을,2020-10-29,0.747858282163226,22.79,113.69,117.40177095559925,91.19353072475829,150.10054624429088,74.37368006788607,92.64173746106337,71.96081509490676,53.32992011218521,-19.130274602499256
7257,2020,10,29,9,79.06,2020-10-29 09:00:00,3,Thursday,O,가을,2020-10-29,0.6985444577935196,22.9,115.49,116.31129879724453,90.35642116695804,159.06301642537494,77.06443238896956,91.95571282910151,71.43578657459703,46.14999999998373,-22.9890981059961
7258,2020,10,29,10,73.36,2020-10-29 10:00:00,3,Thursday,O,가을,2020-10-29,0.7824195330539763,22.37,111.35,114.53795920558679,90.64287021627435,172.3047696503571,79.1250133489267,84.02504687321847,66.49560959065886,52.052716923841224,-16.67123447509704
7259,2020,10,29,11,75.83,2020-10-29 11:00:00,3,Thursday,O,가을,2020-10-29,0.6428495237381266,25.95,118.37,112.77698987847151,91.33475264031175,144.81544688451802,71.1621514829658,85.51879142484495,69.25914292714839,64.2158531494222,-7.4661487715186
7260,2020,10,29,12,83.32,2020-10-29 12:00:00,3,Thursday,O,가을,2020-10-29,0.7009079515479463,25.22,115.8,110.1342239243843,91.78233011168707,159.14383556034656,69.69956090414726,91.763835373797,76.47303744905767,83.40185300374732,0.057371421184585075
7261,2020,10,29,13,72.41,2020-10-29 13:00:00,3,Thursday,O,가을,2020-10-29,0.6433410036174803,22.77,110.22,114.72942500130861,90.6570874204904,148.94273487564664,75.6298069283324,83.07557664344756,65.6447970011771,89.16150569438256,10.77693048552801
7262,2020,10,29,14,67.03,2020-10-29 14:00:00,3,Thursday,O,가을,2020-10-29,0.5946036167747593,21.76,107.53,111.75028252524388,91.9554731876532,139.04860158335433,78.93792486922636,74.90621437667097,61.63775367768394,89.9370219294035,13.620598088762044
7263,2020,10,29,15,69.7,2020-10-29 15:00:00,3,Thursday,O,가을,2020-10-29,0.7006423855585755,22.28,109.57,111.9075689233242,91.46051011585976,159.61518127597677,77.61708894770295,77.99957553955697,63.747975550754255,75.53207090099532,4.0861960688201115
7264,2020,10,29,16,76.39,2020-10-29 16:00:00,3,Thursday,O,가을,2020-10-29,0.7178299141404701,22.2,133.6,114.48926469169822,92.50300084337263,171.68154384092176,72.06747645313921,87.45834929798828,70.66304234425235,67.67543511860774,-6.255575360581365
7265,2020,10,29,17,88.7,2020-10-29 17:00:00,3,Thursday,O,가을,2020-10-29,0.8393132223817604,22.97,125.42,117.29134414285154,91.79955366720846,147.85318375334947,74.30502778598647,104.03742225470933,81.42620410281391,65.04602431310774,-19.853094555905365
7266,2020,10,29,18,88.13,2020-10-29 18:00:00,3,Thursday,O,가을,2020-10-29,0.7763683464004296,27.52,108.54,113.32322140607077,90.79348608052362,130.72345300301006,80.42136763442653,99.87175502517017,80.01629928276547,77.63723330359589,-8.146251929252752
7267,2020,10,29,19,84.44,2020-10-29 19:00:00,3,Thursday,O,가을,2020-10-29,0.6422953174813306,22.57,97.96,111.52133230957709,88.62931586111732,126.61252035676412,82.12210949428703,94.1686130022069,74.83859431312746,89.91401173680948,3.5159321063905797
7268,2020,10,29,20,75.84,2020-10-29 20:00:00,3,Thursday,O,가을,2020-10-29,0.5922154261880718,22.5,103.33,115.86797594720669,89.71631044241646,123.48377848244233,84.48910703916555,87.87427295836156,68.04084983952865,98.73929986180836,13.56131862706929
7269,2020,10,29,21,73.25,2020-10-29 21:00:00,3,Thursday,O,가을,2020-10-29,0.6982268969658284,22.34,90.49,111.93088073371531,86.21921064065903,121.20571032510536,85.97786293817515,81.98937013744646,63.15557179428274,75.61940947485064,1.6543854252663965
7270,2020,10,29,22,68.89,2020-10-29 22:00:00,3,Thursday,O,가을,2020-10-29,0.6724271789005241,22.55,85.03,112.52350616428093,89.26562554651724,118.34957338926021,87.14404068095611,77.51744339657313,61.49508943899573,85.02999999999679,10.8529746674523
7271,2020,10,29,23,53.75,2020-10-29 23:00:00,3,Thursday,O,가을,2020-10-29,0.7387145655795514,24.35,62.96,107.87914595890436,91.9527926669105,116.51429585581285,91.98650492869086,57.98504095291109,49.42462605846439,49.424626058463836,-3.195216732190999
7272,2020,10,30,0,54.19,2020-10-30 00:00:00,4,Friday,O,가을,2020-10-30,0.5209436720667382,26.31,62.5,114.58138688541455,89.08417377311493,127.58061541860563,85.25538073006906,62.09165355320614,48.27471376765097,62.09165355320446,4.116316417405522
7273,2020,10,30,1,45.29,2020-10-30 01:00:00,4,Friday,O,가을,2020-10-30,0.5625581112320991,24.03,61.32,111.81168273742661,90.34975839392557,116.88984534162347,89.90660534595311,50.639511111780514,40.91940557660889,61.3199999999971,9.017806523048918
7274,2020,10,30,2,44.64,2020-10-30 02:00:00,4,Friday,O,가을,2020-10-30,0.5858880316310444,23.6,55.77,109.43618916692833,92.99333290361197,112.3875929244331,87.56733894546471,48.85231484411681,41.512223808172386,55.769999999997935,6.520933792052315
7275,2020,10,30,3,52.91,2020-10-30 03:00:00,4,Friday,O,가을,2020-10-30,0.6742309317167674,23.9,74.5,111.07685507893726,92.21933219759815,114.67422852356081,89.575895410396,58.7707640222657,48.79324866574918,74.49999999998961,14.556645815758007
7276,2020,10,30,4,47.49,2020-10-30 04:00:00,4,Friday,O,가을,2020-10-30,0.6669031865002304,23.62,68.15,109.84718159151808,91.98589865549015,120.83098104293322,89.7069818542576,52.16642653781194,43.684103271492276,51.968361448258555,2.9866335201434158
7277,2020,10,30,5,55.69,2020-10-30 05:00:00,4,Friday,O,가을,2020-10-30,0.7197909746741354,27.81,70.01,107.86991145819798,92.69441775804312,130.06753370908794,81.30937625409314,60.072753691070446,51.62152124945421,50.5479585978011,-3.7011949927035035
7278,2020,10,30,6,54.36,2020-10-30 06:00:00,4,Friday,O,가을,2020-10-30,0.7352611373756079,25.34,71.11,108.26497520003531,93.05244743539158,129.22849284660052,77.61170082796916,58.85284051873919,50.583310425878864,44.64000000000184,-7.146738255289555
7279,2020,10,30,7,68.22,2020-10-30 07:00:00,4,Friday,O,가을,2020-10-30,0.6828118832741743,22.58,91.36,111.81081778211829,90.63888824452322,139.59676509103267,77.1277397688779,76.27733989096109,61.83384956041374,47.0937218543188,-14.42527376722661
7280,2020,10,30,8,95.0,2020-10-30 08:00:00,4,Friday,O,가을,2020-10-30,0.747858282163226,22.79,113.69,117.40177095559925,91.19353072475829,150.10054624429088,74.37368006788607,111.53168240781928,86.63385418852039,56.16178298416382,-29.04548225974582
